method,dataset,sparsity,seed,split_manifest_path,cka_strength,cka_signal,round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,3,3,1.0,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,3,4,0.999690592288971,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,4,0,0.9997513890266418,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,4,1,0.9996858835220337,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,4,2,0.999623715877533,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,4,3,0.999690592288971,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,4,4,1.0,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,0,0,1.0,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,0,1,0.9970020055770874,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,0,2,0.9970078468322754,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,0,3,0.9836710095405579,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,0,4,0.982524573802948,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,1,0,0.9970020055770874,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,1,1,1.0,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,1,2,0.9978388547897339,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,1,3,0.9830184578895569,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,1,4,0.9852967858314514,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,2,0,0.9970078468322754,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,2,1,0.9978388547897339,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,2,2,1.0,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,2,3,0.9768712520599365,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,2,4,0.9773339033126831,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,3,0,0.9836710095405579,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,3,1,0.9830184578895569,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,3,2,0.9768712520599365,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,3,3,1.0,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,3,4,0.9808927178382874,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,4,0,0.982524573802948,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,4,1,0.9852967858314514,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,4,2,0.9773339033126831,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,4,3,0.9808927178382874,0.9861457943916321,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,fc1,4,4,1.0,0.9861457943916321,500
