round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
2,fc1,0,0,1.0,0.7437517046928406,100
2,fc1,0,1,0.7550979852676392,0.7437517046928406,100
2,fc1,0,2,0.7232972383499146,0.7437517046928406,100
2,fc1,1,0,0.7550979852676392,0.7437517046928406,100
2,fc1,1,1,1.0,0.7437517046928406,100
2,fc1,1,2,0.7528598308563232,0.7437517046928406,100
2,fc1,2,0,0.7232972383499146,0.7437517046928406,100
2,fc1,2,1,0.7528598308563232,0.7437517046928406,100
2,fc1,2,2,1.0,0.7437517046928406,100
3,conv1,0,0,1.0,0.9977512955665588,100
3,conv1,0,1,0.9987586140632629,0.9977512955665588,100
3,conv1,0,2,0.9984000325202942,0.9977512955665588,100
3,conv1,1,0,0.9987586140632629,0.9977512955665588,100
3,conv1,1,1,1.0,0.9977512955665588,100
3,conv1,1,2,0.9960952997207642,0.9977512955665588,100
3,conv1,2,0,0.9984000325202942,0.9977512955665588,100
3,conv1,2,1,0.9960952997207642,0.9977512955665588,100
3,conv1,2,2,1.0,0.9977512955665588,100
3,conv2,0,0,1.0,0.9821348190307617,100
3,conv2,0,1,0.9772471785545349,0.9821348190307617,100
3,conv2,0,2,0.9829533100128174,0.9821348190307617,100
3,conv2,1,0,0.9772471785545349,0.9821348190307617,100
3,conv2,1,1,1.0,0.9821348190307617,100
3,conv2,1,2,0.9862039685249329,0.9821348190307617,100
3,conv2,2,0,0.9829533100128174,0.9821348190307617,100
3,conv2,2,1,0.9862039685249329,0.9821348190307617,100
3,conv2,2,2,1.0,0.9821348190307617,100
3,fc1,0,0,1.0,0.7189232707023621,100
3,fc1,0,1,0.5847465991973877,0.7189232707023621,100
3,fc1,0,2,0.746242880821228,0.7189232707023621,100
3,fc1,1,0,0.5847465991973877,0.7189232707023621,100
3,fc1,1,1,1.0,0.7189232707023621,100
3,fc1,1,2,0.8257803320884705,0.7189232707023621,100
3,fc1,2,0,0.746242880821228,0.7189232707023621,100
3,fc1,2,1,0.8257803320884705,0.7189232707023621,100
3,fc1,2,2,1.0,0.7189232707023621,100
4,conv1,0,0,1.0,0.9993488192558289,100
4,conv1,0,1,0.9995101094245911,0.9993488192558289,100
4,conv1,0,2,0.9994046688079834,0.9993488192558289,100
4,conv1,1,0,0.9995101094245911,0.9993488192558289,100
4,conv1,1,1,1.0,0.9993488192558289,100
4,conv1,1,2,0.9991317987442017,0.9993488192558289,100
4,conv1,2,0,0.9994046688079834,0.9993488192558289,100
4,conv1,2,1,0.9991317987442017,0.9993488192558289,100
4,conv1,2,2,1.0,0.9993488192558289,100
4,conv2,0,0,1.0,0.9495324492454529,100
4,conv2,0,1,0.9930546283721924,0.9495324492454529,100
4,conv2,0,2,0.9382763504981995,0.9495324492454529,100
4,conv2,1,0,0.9930546283721924,0.9495324492454529,100
4,conv2,1,1,1.0,0.9495324492454529,100
4,conv2,1,2,0.917266309261322,0.9495324492454529,100
4,conv2,2,0,0.9382763504981995,0.9495324492454529,100
4,conv2,2,1,0.917266309261322,0.9495324492454529,100
4,conv2,2,2,1.0,0.9495324492454529,100
4,fc1,0,0,1.0,0.8105935454368591,100
4,fc1,0,1,0.8950103521347046,0.8105935454368591,100
4,fc1,0,2,0.7534676790237427,0.8105935454368591,100
4,fc1,1,0,0.8950103521347046,0.8105935454368591,100
4,fc1,1,1,1.0,0.8105935454368591,100
4,fc1,1,2,0.7833024859428406,0.8105935454368591,100
4,fc1,2,0,0.7534676790237427,0.8105935454368591,100
4,fc1,2,1,0.7833024859428406,0.8105935454368591,100
4,fc1,2,2,1.0,0.8105935454368591,100
5,conv1,0,0,1.0,0.9976739883422852,100
5,conv1,0,1,0.9984054565429688,0.9976739883422852,100
5,conv1,0,2,0.9961956739425659,0.9976739883422852,100
5,conv1,1,0,0.9984054565429688,0.9976739883422852,100
5,conv1,1,1,1.0,0.9976739883422852,100
5,conv1,1,2,0.998420774936676,0.9976739883422852,100
5,conv1,2,0,0.9961956739425659,0.9976739883422852,100
5,conv1,2,1,0.998420774936676,0.9976739883422852,100
5,conv1,2,2,1.0,0.9976739883422852,100
5,conv2,0,0,1.0,0.9715256690979004,100
5,conv2,0,1,0.9792316555976868,0.9715256690979004,100
5,conv2,0,2,0.9631310701370239,0.9715256690979004,100
5,conv2,1,0,0.9792316555976868,0.9715256690979004,100
5,conv2,1,1,1.0,0.9715256690979004,100
5,conv2,1,2,0.9722142219543457,0.9715256690979004,100
5,conv2,2,0,0.9631310701370239,0.9715256690979004,100
5,conv2,2,1,0.9722142219543457,0.9715256690979004,100
5,conv2,2,2,1.0,0.9715256690979004,100
5,fc1,0,0,1.0,0.8526323437690735,100
5,fc1,0,1,0.8718885779380798,0.8526323437690735,100
5,fc1,0,2,0.8374050259590149,0.8526323437690735,100
5,fc1,1,0,0.8718885779380798,0.8526323437690735,100
5,fc1,1,1,1.0,0.8526323437690735,100
5,fc1,1,2,0.8486036062240601,0.8526323437690735,100
5,fc1,2,0,0.8374050259590149,0.8526323437690735,100
5,fc1,2,1,0.8486036062240601,0.8526323437690735,100
5,fc1,2,2,1.0,0.8526323437690735,100
